Date,Breakout Type,Entry Time,Underlying Entry Price,OR High,OR Low,OR Width,Gap %,Inside Day,Outside Day,Relation PDH/PDL,Days To Expiry,Day Of Week,Max Continuation,Max Adverse,Sustained,Failed,ATR,ADX,RSI,VWAP Dist,ATM MFE %,ATM MAE %,ATM Peak Time,ATM Time To Peak Min,ATM Decay %,ATM Gamma Eff,ATM Expansion Quality Score,ATM Peak Exhaustion Score,ATM Expected Opportunity Score,ATM Time To 50%,ATM Time Above 50%,ATM Exit Hybrid Return %,ATM Exit Hybrid Capture Eff,ATM Exit Hybrid Retention Ratio,ATM Exit Hybrid Lost Profit,Volatility Regime,Trend Regime,Auction Archetype,Failure Reason
2026-07-06,bullish,2026-07-06 09:31:00 +0530,24361.55,24360.15,24287.1,73.05000000000291,0.0,false,false,inside,4,Monday,97.10000000000218,5.299999999999272,true,false,,,,,13.16,-4.58,2026-07-06 10:07:00 +0530,36,6.39,0.136,46,50,6,,0,7.68,0.5833,0.5833,4.25,normal,mean_reverting,open_test_drive,none
2026-07-07,bullish,2026-07-07 10:10:00 +0530,24488.9,24488.45,24427.0,61.45000000000073,0.0,false,false,inside,4,Tuesday,42.0,139.95000000000073,false,true,,,,,24.68,-99.07,2026-07-07 10:50:00 +0530,40,99.25,0.588,11,100,0,,0,1.05,0.0425,0.0425,10.15,normal,mean_reverting,open_auction,vwap_reclaimed
2026-07-07,bearish,2026-07-07 13:13:00 +0530,24425.6,24488.45,24427.0,61.45000000000073,0.0,false,false,inside,4,Tuesday,76.64999999999782,47.45000000000073,true,false,,,,,16.96,-86.65,2026-07-07 13:18:00 +0530,5,88.58,0.221,43,100,0,,0,-21.76,-1.2835,0.0,14.5,normal,mean_reverting,open_auction,none
2026-07-08,bearish,2026-07-08 09:31:00 +0530,24226.9,24295.25,24229.9,65.34999999999854,0.0,false,false,inside,4,Wednesday,421.7000000000007,73.09999999999854,true,false,,,,,2.23,-7.57,2026-07-08 10:55:00 +0530,84,9.59,0.005,40,75,0,,0,-3.95,-1.7703,0.0,10.25,normal,trending,open_test_drive,none
2026-07-09,bullish,2026-07-09 09:40:00 +0530,24051.0,24038.5,23927.7,110.79999999999927,0.0,false,false,inside,4,Thursday,83.70000000000073,125.29999999999927,true,false,,,,,6.47,-12.39,2026-07-09 15:23:00 +0530,343,6.57,0.077,43,75,0,,0,-3.97,-0.6129,0.0,15.0,normal,trending,open_auction,none
2026-07-10,bullish,2026-07-10 09:38:00 +0530,24193.8,24187.9,24120.35,67.55000000000291,0.0,false,false,inside,4,Friday,34.650000000001455,41.75,false,true,,,,,2.45,-12.21,2026-07-10 11:46:00 +0530,128,14.31,0.071,19,100,0,,0,-0.24,-0.0984,0.0,3.35,normal,mean_reverting,open_auction,vwap_reclaimed
2026-07-14,bearish,2026-07-14 10:20:00 +0530,24049.25,24157.1,24050.55,106.54999999999927,0.0,false,false,inside,4,Tuesday,25.549999999999272,97.09999999999854,false,true,,,,,11.54,-6.81,2026-07-14 10:22:00 +0530,2,15.37,0.452,53,100,0,,0,5.82,0.5048,0.5048,2.6,normal,trending,open_test_drive,vwap_reclaimed
2026-07-15,bullish,2026-07-15 10:18:00 +0530,24214.75,24211.75,24069.05,142.70000000000073,0.0,false,false,inside,4,Wednesday,5.599999999998545,204.20000000000073,false,true,,,,,12.75,-2.79,2026-07-15 14:44:00 +0530,266,13.79,2.278,43,100,6,,0,4.19,0.3284,0.3284,11.35,normal,trending,trend_from_open,vwap_reclaimed
2026-07-15,bearish,2026-07-15 12:57:00 +0530,24036.25,24211.75,24069.05,142.70000000000073,0.0,false,false,inside,4,Wednesday,25.700000000000728,70.79999999999927,false,true,,,,,4.52,-11.85,2026-07-15 14:06:00 +0530,69,15.66,0.176,20,100,0,,0,-3.31,-0.7317,0.0,14.2,normal,trending,trend_from_open,premium_divergence
2026-07-16,bearish,2026-07-16 09:35:00 +0530,24112.0,24167.4,24117.55,49.85000000000218,0.0,false,false,inside,4,Thursday,62.0,74.5,true,false,,,,,5.08,-21.43,2026-07-16 09:54:00 +0530,19,25.22,0.082,35,100,0,,0,-5.32,-1.0479,0.0,14.95,normal,mean_reverting,failed_auction,none
